"Gene.name","HKC8_01","HKC8_02","HKC8_03","HKC11_01","HKC11_02","HKC11_03","HPTC-05-LTR_01","HPTC-05-LTR_02","HPTC-05-LTR_03","HPTC-05-CLA_01","HPTC-05-CLA_02","HK2_01","HK2_02","C57BL/6J_01","C57BL/6J_02","C57BL/6J_03","mCTAL_01","mCTAL_02","mCTAL_03","mCTAL_04","mCTAL_05","mCTAL_06","mCTAL_07","mCTAL_08","mCCD_01","mCCD_02","mCCD_03","mCCD_04","mCCD_05","mCCD_06","mCCD_07","mCCD_08","mCCD_09","mCCD_10","mCCD_11","mPTS2_01","mPTS2_02","mPTS2_03","mPTS2_04","mPTS2_05","mPTS2_06","mPTS2_07","mPTS2_08","mPTS2_09","mPTS2_10","mPTS2_11","mPTS2_12","Kidney_01","Kidney_02","Kidney_03","Primary_Cell_01","Primary_Cell_02","SHR_01","SHR_02","SHR_03","WKY_01","WKY_02","WKY_03","NRK-E52_01","NRK-E52_02","NRK-E52_03","MDCK_01","MDCK_02","MDCK_03","LLC-PK1_01","LLC-PK1_02","LLC-PK1_03","OKWT_01","OKWT_02","OKWT_03","OKWT_04","OKH_01","OKH_02","OKH_03","OK-ATCC_01","OK-ATCC_02","OK-ATCC_03"
"a1bg",6.66,10.53,9.06,3.24,4.85,3.79,30.05,19.31,29,20.95,32.8,46.58,77.68,0.06,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.03,0,0,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.15,0.04,0,0,0,0,0.41,0.13,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a1cf",0,0.02,0.04,0,0.01,0.08,0,0.04,0,0,0.01,0,0.02,0.1,0.03,0.17,0,0,0,0.01,0,0,0.72,0,0,0.16,0,0,1.67,0.18,0,0,0,1.02,0.01,32.03,19.71,21.09,23.28,28.09,24.19,21.51,26.51,21.44,20.44,18.58,25.54,24.79,23.76,21.65,3.03,3.5,0,0.01,0,0.04,0.02,0,0.11,0.09,0.03,0,0,0.02,0,0,0.01,28.84,56.04,53.2,32.87,12.62,1.34,1.54,0,0,0
"a2m",0.12,0.18,0.29,0,0.44,0.16,0,0.22,0.71,0,0.21,0,0.09,0.24,0.23,0.11,0,0,0,0,0,0,0,0,0.06,0,0,0.01,0.02,0,0,0,0,0,0,0.26,0,0.03,0.05,0.48,0.36,0.11,0.23,0.09,0.61,0.3,0.04,0.32,0.2,0,0.26,0.36,0,0,0,0,0,0,0,0,0,1.2,1.09,0.82,108.02,21.47,23.41,28.54,36.39,18.1,7.21,3.86,2.52,2.32,0.58,0.78,0.27
"a2ml1",0,0.06,0.33,0,0.58,0.9,0,0.52,0.05,0,0.04,0.08,0.23,0.27,0.1,0.16,0,0,0,0.53,0,0,0.15,0,0.88,0,0,0,0.7,0.11,0,0,0,0.11,0,0.11,0,0.03,0.05,0.02,0.02,0,0.07,0.09,0.02,0.09,0,0,0,0,0.12,0.04,0,0,0.02,0,0,0.15,0,0.03,0,0,0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a3galt2",0,0.09,0,0,0,0,0,0,0,0,0,0,0.37,0.15,0.04,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0.1,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.09,0,0,42.31,35.28,34.21,9.32,8.27,1.22,152.55,142.97,180.96,0,0,0.1,3.8,3.68,3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a4galt",3.2,7.21,6.81,3.98,5.45,11.13,12.98,132.75,91.7,11.33,24.6,21.35,45.91,1.01,0.47,0.66,0.11,0.13,0.08,0.06,0.45,0.02,0.08,0.02,81.48,177.35,93.61,58.66,118.53,131.37,113.19,79.06,87.09,74.04,59.04,21.09,16.11,18.83,17.53,9.34,9.22,8.8,9.74,13.71,11.49,13.54,15.09,17.11,15.73,12.56,1.56,1.94,0,0.31,0.14,1.17,1.08,1.1,0.39,0.89,0.18,5.5,7.73,6.15,0.6,2.24,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a4gnt",0,0,0.07,0,0,0.19,0,0.03,0,0,0.15,0,0,0.06,0.02,0.16,0,0,0,0,0,0,0,0,0.19,0,0,0,2.2,0,0,0,0,1.81,0,22.41,12.38,13.24,5.39,36.51,29.17,17.95,13.75,26.27,22.43,20.44,11.37,7.79,6.49,7.85,2.74,3.63,0,0,0,0,0,0.38,0.06,0.07,0,0,0,0.03,0.04,0.03,0.13,0.11,0.2,0,0,0,0.11,0,0.1,0.48,0
"aaas",110.52,96.56,120.16,139.57,129.29,150.49,102.09,85,100.95,113.04,123.83,75.6,93.68,72.8,83.19,107.76,0.14,0.07,0,9.72,9.33,9.25,13.19,12.6,25.54,23.47,43.64,28.26,22.57,31.95,21.7,17.04,45.29,21.34,28.18,27.09,21.94,19.97,17.31,25.43,24.28,25.02,21.26,26.38,21.56,22.18,21.5,17.91,19.73,14.12,58.72,52.4,165.08,85.41,97.64,139.36,138.72,60.43,52.42,50.03,36.13,29.08,24.42,27.45,13.31,11.34,12.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aacs",27.56,22.14,35.49,27.39,29.55,31.36,30.51,30.33,30.62,31.1,32.26,29.65,30.77,218.76,285.01,153.95,0,0.14,0.11,10.48,0.01,13.47,18.23,12.03,41.13,0.08,58.3,13.49,39.55,22.14,19.07,8.58,17.65,45.55,49.82,418.92,310.65,351.6,303.23,288.96,267.78,212.28,226.09,582.65,497.76,495.64,603.17,182.22,301.15,224.45,47.51,32.79,195.25,198.21,208.35,19.49,19.23,15,30.8,29.93,24.33,31.87,79.94,88.61,3.26,6.5,6.6,66.14,56.15,62.78,54.27,93.38,37.56,34.66,49.76,55.73,41.36
"aadac",0,0,0.04,0,0.03,0.05,0,0.03,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,27.52,10.84,0,0,2.07,0.22,46.51,3.71,0.72,0.42,0.14,10.56,17,399.77,364.04,391.54,370.11,426.86,466.17,407.49,418.76,468.15,441.97,451.49,424.2,392.04,401.31,411.52,63.76,65.67,0,0,0,0,0.07,0,0.13,0.12,0.09,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
